Started at Wed Nov 13 08:26:45 CET 2024
11/13 08:26:49 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:04:12  time: 0.0838  data_time: 0.0017  memory: 17002  
Processing corruption type: glass_blur
11/13 08:27:09 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:03:53  time: 0.5136  data_time: 0.0017  memory: 17021  
11/13 08:27:18 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:03:29  time: 0.4447  data_time: 0.0017  memory: 17009  
11/13 08:27:22 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:03:05  time: 0.0808  data_time: 0.0016  memory: 720  
11/13 08:27:28 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:02:43  time: 0.0890  data_time: 0.0017  memory: 16952  
11/13 08:27:32 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:02:22  time: 0.0832  data_time: 0.0018  memory: 1600  
11/13 08:27:44 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:02:02  time: 0.0779  data_time: 0.0016  memory: 17024  
11/13 08:27:55 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:01:44  time: 0.0862  data_time: 0.0019  memory: 17015  
11/13 08:28:05 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:01:25  time: 0.0893  data_time: 0.0016  memory: 17004  
11/13 08:28:12 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:01:07  time: 0.0884  data_time: 0.0019  memory: 17004  
11/13 08:28:17 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:00:49  time: 0.0886  data_time: 0.0019  memory: 670  
11/13 08:28:25 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:00:32  time: 0.0910  data_time: 0.0017  memory: 17027  
11/13 08:28:35 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:00:16  time: 0.0822  data_time: 0.0017  memory: 17008  
11/13 08:28:43 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.0778  data_time: 0.0014  memory: 16956  
11/13 08:28:43 - mmengine - INFO - per class results:
11/13 08:28:43 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
    MUSA available: False
    numpy_random_seed: 1575691582
    GPU 0: Tesla V100-SXM2-32GB
    CUDA_HOME: /opt/bwhpc/common/devel/cuda/11.7
    NVCC: Cuda compilation tools, release 11.7, V11.7.99
    GCC: gcc (GCC) 8.5.0 20210514 (Red Hat 8.5.0-18)
    PyTorch: 1.13.1
    PyTorch compiling details: PyTorch built with:
  - GCC 9.3
  - C++ Version: 201402
  - Intel(R) oneAPI Math Kernel Library Version 2021.4-Product Build 20210904 for Intel(R) 64 architecture applications
  - Intel(R) MKL-DNN v2.6.0 (Git Hash 52b5f107dd9cf10910aaa19cb47f3abf9b349815)
  - OpenMP 201511 (a.k.a. OpenMP 4.5)
  - LAPACK is enabled (usually provided by MKL)
  - NNPACK is enabled
  - CPU capability usage: AVX2
  - CUDA Runtime 11.7
  - NVCC architecture flags: -gencode;arch=compute_37,code=sm_37;-gencode;arch=compute_50,code=sm_50;-gencode;arch=compute_60,code=sm_60;-gencode;arch=compute_61,code=sm_61;-gencode;arch=compute_70,code=sm_70;-gencode;arch=compute_75,code=sm_75;-gencode;arch=compute_80,code=sm_80;-gencode;arch=compute_86,code=sm_86;-gencode;arch=compute_37,code=compute_37
  - CuDNN 8.5
  - Magma 2.6.1
  - Build settings: BLAS_INFO=mkl, BUILD_TYPE=Release, CUDA_VERSION=11.7, CUDNN_VERSION=8.5.0, CXX_COMPILER=/opt/rh/devtoolset-9/root/usr/bin/c++, CXX_FLAGS= -fabi-version=11 -Wno-deprecated -fvisibility-inlines-hidden -DUSE_PTHREADPOOL -fopenmp -DNDEBUG -DUSE_KINETO -DUSE_FBGEMM -DUSE_QNNPACK -DUSE_PYTORCH_QNNPACK -DUSE_XNNPACK -DSYMBOLICATE_MOBILE_DEBUG_HANDLE -DEDGE_PROFILER_USE_KINETO -O2 -fPIC -Wno-narrowing -Wall -Wextra -Werror=return-type -Werror=non-virtual-dtor -Wno-missing-field-initializers -Wno-type-limits -Wno-array-bounds -Wno-unknown-pragmas -Wunused-local-typedefs -Wno-unused-parameter -Wno-unused-function -Wno-unused-result -Wno-strict-overflow -Wno-strict-aliasing -Wno-error=deprecated-declarations -Wno-stringop-overflow -Wno-psabi -Wno-error=pedantic -Wno-error=redundant-decls -Wno-error=old-style-cast -fdiagnostics-color=always -faligned-new -Wno-unused-but-set-variable -Wno-maybe-uninitialized -fno-math-errno -fno-trapping-math -Werror=format -Werror=cast-function-type -Wno-stringop-overflow, LAPACK_INFO=mkl, PERF_WITH_AVX=1, PERF_WITH_AVX2=1, PERF_WITH_AVX512=1, TORCH_VERSION=1.13.1, USE_CUDA=ON, USE_CUDNN=ON, USE_EXCEPTION_PTR=1, USE_GFLAGS=OFF, USE_GLOG=OFF, USE_MKL=ON, USE_MKLDNN=ON, USE_MPI=OFF, USE_NCCL=ON, USE_NNPACK=ON, USE_OPENMP=ON, USE_ROCM=OFF, 

    TorchVision: 0.14.1
    OpenCV: 3.4.18
    MMEngine: 0.10.5

Runtime environment:
    cudnn_benchmark: True
    mp_cfg: {'mp_start_method': 'fork', 'opencv_num_threads': 0}
    dist_cfg: {'backend': 'nccl'}
    seed: 1575691582
    Distributed launcher: none
    Distributed training: False
    GPU number: 1
------------------------------------------------------------

11/13 15:47:09 - mmengine - INFO - Config:
crop_size = (
    512,
    512,
)
data_preprocessor = dict(
    bgr_to_rgb=True,
    corruption=False,
    mean=[
        123.675,
        116.28,
        103.53,
    ],
    pad_val=0,
    seg_pad_val=255,
    std=[
        58.395,
        57.12,
        57.375,
    ],
    type='SegDataPreProcessor')
data_root = 'data/ade/ADEChallengeData2016'
dataset_type = 'ADE20KDataset'
default_hooks = dict(
    checkpoint=dict(by_epoch=False, interval=16000, type='CheckpointHook'),
    logger=dict(interval=50, log_metric_by_epoch=False, type='LoggerHook'),
    param_scheduler=dict(type='ParamSchedulerHook'),
    sampler_seed=dict(type='DistSamplerSeedHook'),
    timer=dict(type='IterTimerHook'),
    visualization=dict(type='SegVisualizationHook'))
default_scope = 'mmseg'
env_cfg = dict(
    cudnn_benchmark=True,
    dist_cfg=dict(backend='nccl'),
    mp_cfg=dict(mp_start_method='fork', opencv_num_threads=0))
img_ratios = [
    0.5,
    0.75,
    1.0,
    1.25,
    1.5,
    1.75,
]
launcher = 'none'
load_from = '../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth'
log_level = 'INFO'
log_processor = dict(by_epoch=False)
model = dict(
    auxiliary_head=dict(
        align_corners=False,
        channels=256,
        concat_input=False,
        dropout_ratio=0.1,
        in_channels=1024,
        in_index=2,
        loss_decode=dict(
            loss_weight=0.4, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        num_convs=1,
        type='FCNHead'),
    backbone=dict(
        contract_dilation=True,
        depth=101,
        dilations=(
            1,
            1,
            2,
            4,
        ),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        norm_eval=False,
        num_stages=4,
        out_indices=(
            0,
            1,
            2,
            3,
        ),
        strides=(
            1,
            2,
            1,
            1,
        ),
        style='pytorch',
        type='ResNetV1c'),
    data_preprocessor=dict(
        bgr_to_rgb=True,
        corruption='elastic_transform',
        mean=[
            123.675,
            116.28,
            103.53,
        ],
        pad_val=0,
        seg_pad_val=255,
        size=(
            512,
            512,
        ),
        std=[
            58.395,
            57.12,
            57.375,
        ],
        type='SegDataPreProcessor'),
    decode_head=dict(
        align_corners=False,
        channels=512,
        dropout_ratio=0.1,
        in_channels=2048,
        in_index=3,
        loss_decode=dict(
            loss_weight=1.0, type='CrossEntropyLoss', use_sigmoid=False),
        norm_cfg=dict(requires_grad=True, type='SyncBN'),
        num_classes=150,
        pool_scales=(
            1,
            2,
            3,
            6,
        ),
        type='PSPHead'),
    pretrained='open-mmlab://resnet101_v1c',
    test_cfg=dict(mode='whole'),
    train_cfg=dict(),
    type='EncoderDecoder')
norm_cfg = dict(requires_grad=True, type='SyncBN')
optim_wrapper = dict(
    clip_grad=None,
    optimizer=dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005),
    type='OptimWrapper')
optimizer = dict(lr=0.01, momentum=0.9, type='SGD', weight_decay=0.0005)
param_scheduler = [
    dict(
        begin=0,
        by_epoch=False,
        end=160000,
        eta_min=0.0001,
        power=0.9,
        type='PolyLR'),
]
resume = False
test_cfg = dict(type='TestLoop')
test_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
test_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
test_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(keep_ratio=True, scale=(
        2048,
        512,
    ), type='Resize'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(type='PackSegInputs'),
]
train_cfg = dict(
    max_iters=160000, type='IterBasedTrainLoop', val_interval=16000)
train_dataloader = dict(
    batch_size=4,
    dataset=dict(
        data_prefix=dict(
            img_path='images/training', seg_map_path='annotations/training'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(
                keep_ratio=True,
                ratio_range=(
                    0.5,
                    2.0,
                ),
                scale=(
                    2048,
                    512,
                ),
                type='RandomResize'),
            dict(
                cat_max_ratio=0.75, crop_size=(
                    512,
                    512,
                ), type='RandomCrop'),
            dict(prob=0.5, type='RandomFlip'),
            dict(type='PhotoMetricDistortion'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=True, type='InfiniteSampler'))
train_pipeline = [
    dict(type='LoadImageFromFile'),
    dict(reduce_zero_label=True, type='LoadAnnotations'),
    dict(
        keep_ratio=True,
        ratio_range=(
            0.5,
            2.0,
        ),
        scale=(
            2048,
            512,
        ),
        type='RandomResize'),
    dict(cat_max_ratio=0.75, crop_size=(
        512,
        512,
    ), type='RandomCrop'),
    dict(prob=0.5, type='RandomFlip'),
    dict(type='PhotoMetricDistortion'),
    dict(type='PackSegInputs'),
]
tta_model = dict(type='SegTTAModel')
tta_pipeline = [
    dict(backend_args=None, type='LoadImageFromFile'),
    dict(
        transforms=[
            [
                dict(keep_ratio=True, scale_factor=0.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=0.75, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.0, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.25, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.5, type='Resize'),
                dict(keep_ratio=True, scale_factor=1.75, type='Resize'),
            ],
            [
                dict(direction='horizontal', prob=0.0, type='RandomFlip'),
                dict(direction='horizontal', prob=1.0, type='RandomFlip'),
            ],
            [
                dict(type='LoadAnnotations'),
            ],
            [
                dict(type='PackSegInputs'),
            ],
        ],
        type='TestTimeAug'),
]
val_cfg = dict(type='ValLoop')
val_dataloader = dict(
    batch_size=1,
    dataset=dict(
        data_prefix=dict(
            img_path='images/validation',
            seg_map_path='annotations/validation'),
        data_root='data/ade/ADEChallengeData2016',
        pipeline=[
            dict(type='LoadImageFromFile'),
            dict(keep_ratio=True, scale=(
                2048,
                512,
            ), type='Resize'),
            dict(reduce_zero_label=True, type='LoadAnnotations'),
            dict(type='PackSegInputs'),
        ],
        type='ADE20KDataset'),
    num_workers=4,
    persistent_workers=True,
    sampler=dict(shuffle=False, type='DefaultSampler'))
val_evaluator = dict(
    iou_metrics=[
        'mIoU',
    ], type='IoUMetric')
vis_backends = [
    dict(type='LocalVisBackend'),
]
visualizer = dict(
    name='visualizer',
    type='SegLocalVisualizer',
    vis_backends=[
        dict(type='LocalVisBackend'),
    ])
work_dir = '../corruptions/work_dirs/ade20k/pspnet/pspnet_r101-d8_4xb4-160k_ade20k-512x512/elastic_transform'

Number of parameters:  68068492
11/13 15:47:17 - mmengine - INFO - Distributed training is not used, all SyncBatchNorm (SyncBN) layers in the model will be automatically reverted to BatchNormXd layers if they are used.
11/13 15:47:17 - mmengine - INFO - Hooks will be executed in the following order:
before_run:
(VERY_HIGH   ) RuntimeInfoHook                    
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
before_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_train_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) DistSamplerSeedHook                
 -------------------- 
before_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_train_iter:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_train_epoch:
(NORMAL      ) IterTimerHook                      
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_val_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_val_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_val_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_val_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
(LOW         ) ParamSchedulerHook                 
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
after_val:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_train:
(VERY_HIGH   ) RuntimeInfoHook                    
(VERY_LOW    ) CheckpointHook                     
 -------------------- 
before_test:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
before_test_epoch:
(NORMAL      ) IterTimerHook                      
 -------------------- 
before_test_iter:
(NORMAL      ) IterTimerHook                      
 -------------------- 
after_test_iter:
(NORMAL      ) IterTimerHook                      
(NORMAL      ) SegVisualizationHook               
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_test_epoch:
(VERY_HIGH   ) RuntimeInfoHook                    
(NORMAL      ) IterTimerHook                      
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
after_test:
(VERY_HIGH   ) RuntimeInfoHook                    
 -------------------- 
after_run:
(BELOW_NORMAL) LoggerHook                         
 -------------------- 
11/13 15:47:18 - mmengine - WARNING - The prefix is not set in metric class IoUMetric.
Loads checkpoint by local backend from path: ../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth
11/13 15:47:18 - mmengine - INFO - Load checkpoint from ../checkpoint_files/ade20k/pspnet/pspnet_r101-d8_512x512_160k_ade20k_20200615_100650-967c316f.pth
/pfs/work7/workspace/scratch/ma_mkacar-team_project_fss2024/benchmarking_robustness/semantic_segmentation/mmsegmentation/mmseg/ops_dcnv3/modules/dcnv3.py:20: UserWarning: Now, we support DCNv4 in InternImage.
  warnings.warn('Now, we support DCNv4 in InternImage.')
/pfs/work7/workspace/scratch/ma_mkacar-team_project_fss2024/miniconda3/envs/py310/lib/python3.8/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
11/13 15:49:41 - mmengine - INFO - Iter(test) [  50/2000]    eta: 1:32:52  time: 1.8968  data_time: 0.0029  memory: 17244  
11/13 15:51:14 - mmengine - INFO - Iter(test) [ 100/2000]    eta: 1:14:40  time: 2.0282  data_time: 0.0016  memory: 17024  
11/13 15:52:25 - mmengine - INFO - Iter(test) [ 150/2000]    eta: 1:03:06  time: 1.4970  data_time: 0.0016  memory: 17018  
11/13 15:53:49 - mmengine - INFO - Iter(test) [ 200/2000]    eta: 0:58:38  time: 1.5610  data_time: 0.0016  memory: 17026  
11/13 15:55:07 - mmengine - INFO - Iter(test) [ 250/2000]    eta: 0:54:41  time: 1.3592  data_time: 0.0015  memory: 17024  
11/13 15:56:17 - mmengine - INFO - Iter(test) [ 300/2000]    eta: 0:50:53  time: 1.0691  data_time: 0.0016  memory: 17020  
11/13 15:57:37 - mmengine - INFO - Iter(test) [ 350/2000]    eta: 0:48:37  time: 1.3124  data_time: 0.0015  memory: 17024  
11/13 15:58:48 - mmengine - INFO - Iter(test) [ 400/2000]    eta: 0:45:58  time: 1.4850  data_time: 0.0015  memory: 17022  
11/13 15:59:38 - mmengine - INFO - Iter(test) [ 450/2000]    eta: 0:42:29  time: 1.0604  data_time: 0.0015  memory: 16946  
11/13 16:00:36 - mmengine - INFO - Iter(test) [ 500/2000]    eta: 0:39:53  time: 0.9972  data_time: 0.0016  memory: 17004  
11/13 16:01:39 - mmengine - INFO - Iter(test) [ 550/2000]    eta: 0:37:49  time: 1.5111  data_time: 0.0017  memory: 17024  
11/13 16:02:33 - mmengine - INFO - Iter(test) [ 600/2000]    eta: 0:35:34  time: 1.2223  data_time: 0.0017  memory: 16952  
11/13 16:03:37 - mmengine - INFO - Iter(test) [ 650/2000]    eta: 0:33:52  time: 1.4729  data_time: 0.0015  memory: 17026  
11/13 16:04:46 - mmengine - INFO - Iter(test) [ 700/2000]    eta: 0:32:27  time: 1.0844  data_time: 0.0017  memory: 17027  
11/13 16:05:55 - mmengine - INFO - Iter(test) [ 750/2000]    eta: 0:31:01  time: 1.8966  data_time: 0.0016  memory: 17029  
11/13 16:06:48 - mmengine - INFO - Iter(test) [ 800/2000]    eta: 0:29:15  time: 1.0467  data_time: 0.0017  memory: 17018  
11/13 16:07:41 - mmengine - INFO - Iter(test) [ 850/2000]    eta: 0:27:34  time: 1.0458  data_time: 0.0017  memory: 720  
11/13 16:08:31 - mmengine - INFO - Iter(test) [ 900/2000]    eta: 0:25:55  time: 0.9990  data_time: 0.0015  memory: 16943  
11/13 16:09:38 - mmengine - INFO - Iter(test) [ 950/2000]    eta: 0:24:40  time: 1.2144  data_time: 0.0016  memory: 17024  
11/13 16:10:34 - mmengine - INFO - Iter(test) [1000/2000]    eta: 0:23:15  time: 0.9835  data_time: 0.0015  memory: 17000  
11/13 16:11:38 - mmengine - INFO - Iter(test) [1050/2000]    eta: 0:22:00  time: 1.6061  data_time: 0.0015  memory: 17027  
11/13 16:12:37 - mmengine - INFO - Iter(test) [1100/2000]    eta: 0:20:42  time: 1.0247  data_time: 0.0016  memory: 17014  
11/13 16:13:32 - mmengine - INFO - Iter(test) [1150/2000]    eta: 0:19:23  time: 1.1236  data_time: 0.0015  memory: 17006  
11/13 16:14:24 - mmengine - INFO - Iter(test) [1200/2000]    eta: 0:18:03  time: 1.0032  data_time: 0.0015  memory: 1917  
11/13 16:15:19 - mmengine - INFO - Iter(test) [1250/2000]    eta: 0:16:48  time: 1.0956  data_time: 0.0014  memory: 17017  
11/13 16:16:07 - mmengine - INFO - Iter(test) [1300/2000]    eta: 0:15:30  time: 1.0269  data_time: 0.0015  memory: 1556  
11/13 16:17:01 - mmengine - INFO - Iter(test) [1350/2000]    eta: 0:14:18  time: 0.9529  data_time: 0.0015  memory: 17002  
11/13 16:18:07 - mmengine - INFO - Iter(test) [1400/2000]    eta: 0:13:12  time: 1.4901  data_time: 0.0015  memory: 17021  
11/13 16:19:01 - mmengine - INFO - Iter(test) [1450/2000]    eta: 0:12:01  time: 1.4208  data_time: 0.0015  memory: 17009  
11/13 16:19:50 - mmengine - INFO - Iter(test) [1500/2000]    eta: 0:10:50  time: 0.9510  data_time: 0.0014  memory: 720  
11/13 16:20:46 - mmengine - INFO - Iter(test) [1550/2000]    eta: 0:09:42  time: 1.0568  data_time: 0.0015  memory: 16952  
11/13 16:21:35 - mmengine - INFO - Iter(test) [1600/2000]    eta: 0:08:34  time: 1.0192  data_time: 0.0016  memory: 1600  
11/13 16:22:33 - mmengine - INFO - Iter(test) [1650/2000]    eta: 0:07:28  time: 0.9473  data_time: 0.0014  memory: 17024  
11/13 16:23:31 - mmengine - INFO - Iter(test) [1700/2000]    eta: 0:06:23  time: 1.0261  data_time: 0.0016  memory: 17015  
11/13 16:24:28 - mmengine - INFO - Iter(test) [1750/2000]    eta: 0:05:18  time: 1.0300  data_time: 0.0015  memory: 17004  
11/13 16:25:21 - mmengine - INFO - Iter(test) [1800/2000]    eta: 0:04:13  time: 1.0332  data_time: 0.0016  memory: 17004  
11/13 16:26:12 - mmengine - INFO - Iter(test) [1850/2000]    eta: 0:03:09  time: 1.0171  data_time: 0.0016  memory: 670  
11/13 16:27:04 - mmengine - INFO - Iter(test) [1900/2000]    eta: 0:02:05  time: 0.9992  data_time: 0.0015  memory: 17027  
11/13 16:28:00 - mmengine - INFO - Iter(test) [1950/2000]    eta: 0:01:02  time: 0.9806  data_time: 0.0014  memory: 17008  
11/13 16:28:52 - mmengine - INFO - Iter(test) [2000/2000]    eta: 0:00:00  time: 0.9091  data_time: 0.0014  memory: 16956  
11/13 16:28:52 - mmengine - INFO - per class results:
11/13 16:28:52 - mmengine - INFO - 
+---------------------+-------+-------+
|        Class        |  IoU  |  Acc  |
+---------------------+-------+-------+
|         wall        | 61.84 | 78.92 |
|       building      |  71.8 | 88.69 |
|         sky         | 83.89 | 91.15 |
|        floor        | 66.53 | 81.91 |
|         tree        | 61.47 | 78.73 |
|       ceiling       | 68.69 | 82.11 |
|         road        | 74.21 | 85.77 |
|         bed         | 75.09 | 87.43 |
|      windowpane     |  48.0 | 65.45 |
|        grass        | 56.31 | 73.61 |
|       cabinet       | 48.19 | 64.57 |
|       sidewalk      | 51.32 | 67.88 |
|        person       | 59.06 | 77.65 |
|        earth        | 30.89 | 42.59 |
|         door        | 35.95 | 48.07 |
|        table        | 43.97 | 61.54 |
|       mountain      | 45.18 | 63.23 |
|        plant        | 39.98 | 53.15 |
|       curtain       | 50.09 | 68.03 |
|        chair        | 38.29 | 55.15 |
|         car         | 59.96 | 74.33 |
|        water        | 40.79 | 52.57 |
|       painting      | 44.17 | 62.27 |
|         sofa        | 50.96 | 70.28 |
|        shelf        | 33.32 | 53.11 |
|        house        |  27.6 | 32.19 |
|         sea         | 47.11 | 79.79 |
|        mirror       | 50.68 | 62.85 |
|         rug         | 40.18 | 51.23 |
|        field        | 23.37 | 41.14 |
|       armchair      | 32.11 | 44.67 |
|         seat        |  54.0 | 71.54 |
|        fence        | 27.88 | 41.32 |
|         desk        | 36.39 | 52.51 |
|         rock        | 28.47 | 44.37 |
|       wardrobe      | 37.13 | 52.62 |
|         lamp        | 29.11 | 43.96 |
|       bathtub       | 60.68 | 71.95 |
|       railing       | 24.64 | 39.19 |
|       cushion       | 34.63 | 48.16 |
|         base        | 18.21 | 23.88 |
|         box         | 13.72 | 18.67 |
|        column       | 24.94 | 35.42 |
|      signboard      | 19.87 | 29.91 |
|   chest of drawers  | 32.53 | 46.85 |
|       counter       | 17.51 | 23.85 |
|         sand        | 37.91 | 51.86 |
|         sink        | 46.39 | 62.64 |
|      skyscraper     | 23.53 | 26.21 |
|      fireplace      | 59.76 | 73.22 |
|     refrigerator    | 55.55 | 68.03 |
|      grandstand     | 39.52 |  63.3 |
|         path        |  13.9 | 18.78 |
|        stairs       |  25.1 | 30.33 |
|        runway       | 60.31 | 80.81 |
|         case        | 46.01 | 66.13 |
|      pool table     | 78.96 | 86.39 |
|        pillow       | 37.88 | 52.13 |
|     screen door     | 52.88 | 66.85 |
|       stairway      | 23.33 | 26.89 |
|        river        | 10.69 |  15.6 |
|        bridge       | 29.37 | 33.48 |
|       bookcase      |  29.0 | 38.03 |
|        blind        | 29.45 | 33.87 |
|     coffee table    | 48.19 | 66.36 |
|        toilet       | 57.31 | 70.66 |
|        flower       | 24.32 | 39.96 |
|         book        | 30.91 | 47.84 |
|         hill        |  4.35 |  6.7  |
|        bench        | 37.08 | 45.16 |
|      countertop     | 39.04 |  54.3 |
|        stove        | 58.79 | 68.81 |
|         palm        | 35.29 |  49.9 |
|    kitchen island   | 32.23 | 57.57 |
|       computer      | 42.93 | 54.42 |
|     swivel chair    |  29.4 | 43.35 |
|         boat        | 29.46 | 36.55 |
|         bar         |  16.5 | 19.41 |
|    arcade machine   |  19.4 | 21.78 |
|        hovel        | 19.47 | 26.05 |
|         bus         | 72.18 | 82.88 |
|        towel        | 26.93 | 36.71 |
|        light        | 15.23 | 23.29 |
|        truck        | 27.59 | 35.79 |
|        tower        |  5.85 |  7.31 |
|      chandelier     | 43.14 | 60.21 |
|        awning       | 17.54 | 21.07 |
|     streetlight     |  6.88 | 11.21 |
|        booth        | 44.32 | 49.11 |
| television receiver | 32.34 | 50.17 |
|       airplane      | 36.64 | 55.72 |
|      dirt track     |  5.41 | 11.05 |
|       apparel       | 22.25 | 41.14 |
|         pole        |  9.5  | 14.81 |
|         land        |  1.49 |  1.83 |
|      bannister      |  3.12 |  3.91 |
|      escalator      |  8.91 |  10.1 |
|       ottoman       | 33.46 | 44.77 |
|        bottle       |  7.33 | 15.09 |
|        buffet       | 25.87 | 29.74 |
|        poster       | 19.29 | 24.19 |
|        stage        | 10.69 | 13.14 |
|         van         |  32.3 | 42.25 |
|         ship        | 52.29 | 63.01 |
|       fountain      |  9.63 |  9.88 |
|    conveyer belt    | 66.01 | 79.58 |
|        canopy       | 17.59 | 20.21 |
|        washer       |  61.7 | 65.59 |
|      plaything      | 18.58 | 28.43 |
|    swimming pool    | 20.91 | 32.56 |
|        stool        |  18.0 | 26.41 |
|        barrel       |  38.5 | 57.63 |
|        basket       | 18.81 | 25.78 |
|      waterfall      | 47.73 | 71.95 |
|         tent        |  69.3 | 91.96 |
|         bag         |  6.93 |  8.26 |
|       minibike      | 47.98 | 65.72 |
|        cradle       | 59.73 | 87.18 |
|         oven        | 28.72 | 41.48 |
|         ball        |  38.2 |  62.0 |
|         food        | 37.79 | 48.91 |
|         step        | 14.13 | 16.97 |
|         tank        | 30.97 | 34.06 |
|      trade name     | 16.17 | 19.73 |
|      microwave      | 30.01 | 35.33 |
|         pot         | 22.19 | 31.06 |
|        animal       | 43.19 | 47.89 |
|       bicycle       | 35.01 | 52.97 |
|         lake        | 37.69 | 62.92 |
|      dishwasher     | 46.67 | 54.57 |
|        screen       | 47.66 | 69.06 |
|       blanket       |  8.95 | 10.04 |
|      sculpture      | 29.99 | 40.13 |
|         hood        | 39.77 | 55.62 |
|        sconce       | 17.98 | 25.97 |
|         vase        |  18.8 | 32.55 |
|    traffic light    | 12.68 | 19.12 |
|         tray        |  4.42 |  8.42 |
|        ashcan       | 19.87 | 32.06 |
|         fan         | 24.46 | 39.12 |
|         pier        | 18.63 | 23.04 |
|      crt screen     |  4.78 |  8.62 |
|        plate        |  29.1 | 40.75 |
|       monitor       | 37.36 | 48.42 |
|    bulletin board   | 24.47 | 29.28 |
|        shower       |  0.22 |  0.31 |
|       radiator      | 28.18 |  35.2 |
|        glass        |  6.67 |  7.89 |
|        clock        |  8.33 | 11.53 |
|         flag        | 18.04 | 21.47 |
+---------------------+-------+-------+
